id,name,geometry_type,geometry_wkt,coordinate_count,lon_min,lon_max,lat_min,lat_max
026AE3B14E3CCF1304AF,The Resource Center (RC),Polygon,"POLYGON((36.96062676486613 -0.3974139442912734, 36.96057817860878 -0.3981266415249059, 36.96071820453917 -0.3981891605773764, 36.96128101165775 -0.3982467696699588, 36.9613605087561 -0.3982114312201109, 36.96140218277893 -0.3981490287186286, 36.96140233848876 -0.3980658117681637, 36.96129812777958 -0.3979375844464464, 36.9613207347105 -0.3976394910693926, 36.96139202763057 -0.3975756766631515, 36.96137342829856 -0.3975031518221978, 36.96134914198354 -0.3974679969576904, 36.96131738559336 -0.3974385858618171, 36.96062676486613 -0.3974139442912734))",14,36.96057817860878,36.96140233848876,-0.3982467696699588,-0.3974139442912734
0514E88B703CCF13DE33,School Of Engineering (SOE),Polygon,"POLYGON((36.96262305758021 -0.3993734952872837, 36.96303340775549 -0.3993931891775255, 36.96311247680797 -0.3993639678341832, 36.96312946259669 -0.3987986396071212, 36.96258829160141 -0.3987681116637695, 36.96256330580976 -0.3993195489023364, 36.96262305758021 -0.3993734952872837))",7,36.96256330580976,36.96312946259669,-0.3993931891775255,-0.3987681116637695
04EA3635883CCF1669A4,Parking RC 1,Polygon,"POLYGON((36.96085822092629 -0.3971434077892091, 36.96088363815119 -0.3971851620947789, 36.96087260922383 -0.3973295670312917, 36.96093649231214 -0.3973860298587429, 36.96126566644046 -0.3973969427201315, 36.96129150191308 -0.3973685750441069, 36.96131484234039 -0.3969705004737898, 36.9612229780646 -0.3969983449727277, 36.9611512761999 -0.3969654545985732, 36.96113767411616 -0.3969281210824553, 36.96104251331794 -0.396917584811537, 36.96097399221027 -0.396943084079472, 36.96095019083688 -0.3969835708327676, 36.96091527152434 -0.3969621459015115, 36.96085822092629 -0.3971434077892091))",15,36.96085822092629,36.96131484234039,-0.3973969427201315,-0.396917584811537
0546E41F643CCF1BED4B,Parking RC 2,Polygon,"POLYGON((36.96078157721631 -0.3984103754519158, 36.960887999417 -0.398549874947415, 36.96125727150905 -0.398572623075771, 36.96130163233846 -0.3985198181234013, 36.96130167257385 -0.3983305640419148, 36.96128093228507 -0.3982744199347122, 36.96081231957219 -0.3982400497698192, 36.96076901769551 -0.3983108890249131, 36.96078157721631 -0.3984103754519158))",9,36.96076901769551,36.96130167257385,-0.398572623075771,-0.3982400497698192
08F6BABED73CCF1D131C,Parking SOE,Polygon,"POLYGON((36.96234130670658 -0.3992948558638765, 36.96250738188463 -0.3993055318773462, 36.96253750493796 -0.3988139815990336, 36.96237399567257 -0.3988064976582982, 36.96234130670658 -0.3992948558638765))",5,36.96234130670658,36.96253750493796,-0.3993055318773462,-0.3988064976582982
0BBAD851C43CCF176E50,Main Road,LineString,"LINESTRING(36.96086691321654 -0.3970906019891286, 36.95944099222977 -0.3968224909129076, 36.95933026371004 -0.3967436440175209, 36.95902450321999 -0.3962458556308106, 36.95865014507489 -0.395898709236849, 36.95849863824489 -0.3958794961577899, 36.9579783555527 -0.3962014889668587)",7,36.9579783555527,36.96086691321654,-0.3970906019891286,-0.3958794961577899
03706385D43CCF155710,Main Road 1,LineString,"LINESTRING(36.9624495319086 -0.3986724376005315, 36.96267502451335 -0.3953329808873047, 36.96261466641511 -0.3951861603105934, 36.96241936592502 -0.395139206810476, 36.96173929041652 -0.3951014204503263, 36.96156420868338 -0.3952266245398282, 36.96144364560758 -0.3973702250112214)",7,36.96144364560758,36.96267502451335,-0.3986724376005315,-0.3951014204503263
0273BA9D093CCF183B4E,Main Road 2,LineString,"LINESTRING(36.95849468789738 -0.3958788812275131, 36.95886602765468 -0.3956411225021334, 36.95896160322294 -0.39562214632278, 36.96029200743494 -0.396069960334226, 36.96151031802957 -0.3962758935943959)",5,36.95849468789738,36.96151031802957,-0.3962758935943959,-0.39562214632278
0256CACA3F3CCF19BC4C,Main Road 3,LineString,"LINESTRING(36.95866636832164 -0.3957685269502691, 36.95852651010349 -0.3954617007700362, 36.95852588278997 -0.3953438326227315, 36.95864509705603 -0.3946500925912195, 36.95864547730056 -0.3944406912976512, 36.9585631199532 -0.3938922121125184, 36.95846600890404 -0.3935265849024477, 36.95834928482028 -0.3933842736004038, 36.95831891249451 -0.3933312380631715, 36.95838333877733 -0.3932390443901023, 36.95843017254648 -0.3931150313130624, 36.95843800419437 -0.3929574037187531, 36.95844072971012 -0.3926504611000596)",13,36.95831891249451,36.95866636832164,-0.3957685269502691,-0.3926504611000596
077D56A1353CCF1B07A8,Main Road 4,LineString,"LINESTRING(36.95744576740937 -0.3931509879427392, 36.95807676236669 -0.3933399756154001, 36.95833202556811 -0.3933722720495274, 36.958420522091 -0.3934140858090456, 36.95845597819238 -0.3933812407524241, 36.95847722864206 -0.3933157743941652, 36.95888381183158 -0.3931579838034531, 36.95913222318046 -0.3931230077569413, 36.95965908622347 -0.3930836889134141, 36.96014566270097 -0.3930653160527006, 36.96045535720679 -0.3931451554962366)",11,36.95744576740937,36.96045535720679,-0.3934140858090456,-0.3930653160527006
022A0CFA333CCF1E468C,Main Road 5,LineString,"LINESTRING(36.96063283647377 -0.3970465758160167, 36.96048486683791 -0.3979922468081779, 36.96049611646775 -0.3981571820083458, 36.96057244949402 -0.3983268919579682, 36.9608168333292 -0.3985733170070119, 36.96100543341849 -0.3986648888263823, 36.96173877607978 -0.3987183581313384, 36.96245074522924 -0.3986762985852818)",8,36.96048486683791,36.96245074522924,-0.3987183581313384,-0.3970465758160167
